Produit,SKU,Client,Logo blanc,Catégorie,Catégorie client,Contenance,Mockup-appli,ADV,Etuis/étiquettes (dernière version validée),Dosage pour,Allégations complètes,Allégations selectionnées,Composition,Liste d'ingrédients,Conseils d'utilisation,Précaution d'emploi,Poids net,Attestation de déclaration,ACL,Mockup,MOCKUP PN - v2 (old),MOCKUP PN - v1 (old),Statut Mockup,Photos du produit
DECONTRACTANT MUSCUL,,GIPHAR,Giphar.png (https://dl.airtable.com/.attachments/44e9d4b985a7bbbf64de5949c97b853b/b3b56bf6/Giphar.png),Douleur et inflammation,,15 gélules,complement-alimentaire-decontract-muscul(1).jpg (https://dl.airtable.com/.attachments/d8dd46839fffa8eb98faf054d9e40116/2736be5f/complement-alimentaire-decontract-muscul1.jpg),,Etui DECONTRACTANT MUSCUL_V3_28062021_vect.pdf (https://dl.airtable.com/.attachments/bacf554d6c51dca54f284576ffbb8e87/03a8495e/EtuiDECONTRACTANTMUSCUL_V3_28062021_vect.pdf),3 gélules,,- La scutellaire contribue au bon fonctionnement des muscles squelettiques lors d'une activité physique normale et le magnésium contribue au maintien d'une fonction musculaire saine,"'- Citrate de magnésium : 414 mg 16%
dont magnésium élément : 60 mg
- Citrate de potassium : 210 mg 3.8%
dont potassium élément : 75.4 mg
- Extrait de scutellaire (Scutellaria baikalensis) : 200 mg
- Extrait sec de racines d'harpagophytum (Harpagophytum procumbens, Harpagophytum zeyheri) : 200 mg
Extrait sec de sommités fleuries d'achillée millefeuille (Achillea millefolium) 100 mg
Huile essentielle de sommités fleuries de marjolaine (Majorana hortensis) 20 mg
Chlorhydrate de thiamine (vitamine B1) 4.2 mg 380%
Chlorhydrate de pyridoxine (vitamine B6) 2.0 mg 140%","Citrate de potassium ; Gélule d'origine végétale : Hydroxypropylméthylcellulose ; Citrate de potassium ; Extrait de scutellaire (Scutellaria baikalensis) ; Extrait sec de racines d'harpagophytum (Harpagophytum procumbens, Harpagophytum zeyheri) ; Extrait sec de sommités fleuries d'achillée millefeuille (Achillea millefolium) Absorbant : Gomme arabique ; Anti-agglomérant : Stéarate de magnésium ; Huile essentielle de sommités fleuries de marjolaine (Majorana hortensis) ; Chlorhydrate de thiamine (vitamine B1) ; Chlorhydrate de pyridoxine (vitamine B6).",1 gélule 3 fois par jour au milieu d'un repas,"Ce produit est un complément alimentaire à base d'extraits de plantes, de vitamines, de minéraux et d'huile essentielle. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou allaitantes et aux enfants de moins de 12 ans. Déconseillé aux personnes souffrant d'un ulcère gastro-duodénal ou de calculs biliaires. L'usage prolongé supérieur à 14 jours est déconseillé. 
À conserver à l'abri de la chaleur, de la lumière et de l'humidité. Demandez conseil à votre pharmacien avant de consommer ce produit.","8,16 g",,,complement-alimentaire-decontract-muscul.jpg (https://dl.airtable.com/.attachments/99cfbd893ac4988276fef8c569d633e6/8cba05cc/complement-alimentaire-decontract-muscul.jpg),,,Fait,
ETAT NAUSEEUX,,GIPHAR,Giphar.png (https://dl.airtable.com/.attachments/44e9d4b985a7bbbf64de5949c97b853b/b3b56bf6/Giphar.png),Confort et prévention,,15 gélules,complement-alimentaire-nausees(1).jpg (https://dl.airtable.com/.attachments/5346936d23b808c6d8369726bc76d08d/6b28bc30/complement-alimentaire-nausees1.jpg),,"2535_GIPH_new complem alim_artwk etui ETAT NAUSEEUX_V7_03082021 (1).ai (https://dl.airtable.com/.attachments/648766b53f1c32875fd6d15b10d1b277/7ebe1950/2535_GIPH_newcomplemalim_artwketuiETATNAUSEEUX_V7_030820211.ai),complement-alimentaire-nausees-packaging.jpg (https://dl.airtable.com/.attachments/b723b4e0d569544d71ee93924bdd33c0/abaf2096/complement-alimentaire-nausees-packaging.jpg)",3 gélules,,"- Mal des transports
- Digestion
- Le gingembre aide à prévenir les nausées liées au transport et aide à la digestion",'- Extrait de racines de Gingembre (Zingiber officinale) titré à 30% 6 Gingerol / 6 Shogaol : 750 mg,Gélule d'origine végétale : Hydroxypropylméthylcellulose ; Extrait de racines de Gingembre (Zingiber officinale) titré à 30% 6 Gingerol / 6 Shogaol ; Agent de charge : Cellulose microcristalline ; Anti-agglomérant : Stéarate de magnésium.,1 à 3 gélules par jour,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux enfants de moins de 6 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité. Demandez conseil à votre pharmacien avant de consommer ce produit. Déconseillé aux femmes enceintes ou allaitantes.   ",7.74 g,,,"complement-alimentaire-nausees.jpg (https://dl.airtable.com/.attachments/75a5f05816b03a2e18f5e877977527f0/5dad7713/complement-alimentaire-nausees.jpg),complement-alimentaire-nausees-packaging.jpg (https://dl.airtable.com/.attachments/bced88c729f071aada7353dd3b6d5c79/44df692d/complement-alimentaire-nausees-packaging.jpg)",,,Fait,
INSAPONIFIABLE 300,,GIPHAR,Giphar.png (https://dl.airtable.com/.attachments/44e9d4b985a7bbbf64de5949c97b853b/b3b56bf6/Giphar.png),Douleur et inflammation,,30 gélules,complement-alimentaire-insaponifiable-300 (1)(1).jpg (https://dl.airtable.com/.attachments/fd44bfc1d0fcd8e3094ab80c05c94aa7/7f4831c0/complement-alimentaire-insaponifiable-30011.jpg),,"2535_GIPH_new complem alim_artwk etui INSAPONIFIABLE 300_V3_30072021.pdf (https://dl.airtable.com/.attachments/7dc216efc4dc45383c5e13aabedac0de/32f19b0a/2535_GIPH_newcomplemalim_artwketuiINSAPONIFIABLE300_V3_30072021.pdf),2535_GIPH_new complem alim_artwk etui INSAPONIFIABLE 300_V3_30072021.ai (https://dl.airtable.com/.attachments/bd31d2a82ae42c2a70605b8a881baedc/5afdfe1f/2535_GIPH_newcomplemalim_artwketuiINSAPONIFIABLE300_V3_30072021.ai)",1 gélule,,N/A,"300 mg =
- Extraits secs d’insaponifiables de graines de soja (Glycine max) (200 mg)
et de fruits d’avocat (Persea americana) (100 mg) standardisés à 30% de phytostérols ( béta-sitostérol, campestérol, stigmastérol)","Extraits secs d’insaponifiables de graines de soja (Glycine max) et de fruits d’avocats (Persea americana) standardisés à 30% de phytostérols (béta-sitostérol, campestérol, stigmastérol) ; Gélule d’origine végétale : Hydroxypropylméthylcellulose ; Anti-agglomérants : Talc, stéarate de magnésium.",1 gélule par jour au milieu d'un repas,"Ce produit est un complément alimentaire à base d'extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne
pas dépasser la dose journalière autorisée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou allaitantes et aux enfants de moins de 12 ans. Déconseillé chez les femmes ayant des antécédents personnels ou familiaux de cancer du sein. À conserver
à l'abri de la chaleur, de la lumière et de l'humidité.","14,28 g",,,complement-alimentaire-insaponifiable-300 (1).jpg (https://dl.airtable.com/.attachments/4591898e8a17f0ea669a52302983a1b6/c833746b/complement-alimentaire-insaponifiable-3001.jpg),,,Fait,
MAGNESIUM B6,,GIPHAR,Giphar.png (https://dl.airtable.com/.attachments/44e9d4b985a7bbbf64de5949c97b853b/b3b56bf6/Giphar.png),Sommeil et sérénité ,,90 gélules,,,"etui MAGNESIUM B6_90G_V3_02082021_vect.pdf (https://dl.airtable.com/.attachments/3ac37fbe3f494776ab1b305e307ef9ea/38db5c87/etuiMAGNESIUMB6_90G_V3_02082021_vect.pdf),2535_GIPH_new complem alim_artwk etui MAGNESIUM B6_90G_V3_02082021 (1).ai (https://dl.airtable.com/.attachments/c8c3f78b737f5527fa2e74e184e8055c/b43fd83d/2535_GIPH_newcomplemalim_artwketuiMAGNESIUMB6_90G_V3_020820211.ai)",1 GÉLULE,,- Contribuent au maintien d'un bon métabolisme énergétique et à réduire la fatigue,"'- Magnésium d’origine marine (carbonate, chlorure, hydroxyde, oxyde, sulfate) : 300 mg 80%
- Vitamine B6 : 2 mg 140%
","Magnésium d’origine marine (oxyde de magnésium, carbonate de magnésium, hydroxyde de magnésium, sulfate de magnésium, chlorure de magnésium) ; Gélule d’origine végétal : Hydroxypropylméthylcellulose ; Humectant : Glycérol ; Chlorhydrate de pyridoxine (vitamine B6).
",1 gélule par jour. ,"Ce produit est un complément alimentaire à base de magnésium et de vitamine B6. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","64,35 g",,,,,,,
MAGNESIUM B6 ,,GIPHAR,Giphar.png (https://dl.airtable.com/.attachments/44e9d4b985a7bbbf64de5949c97b853b/b3b56bf6/Giphar.png),Sommeil et sérénité ,,30 gélules,complement-alimentaire_magnesium-vitamin-B6_0(1).jpg (https://dl.airtable.com/.attachments/6d5f9e6fa10672e17c8288a58a661337/74f395ef/complement-alimentaire_magnesium-vitamin-B6_01.jpg),,"MAGNESIUM B6_30G_V3_02082021_vect.pdf (https://dl.airtable.com/.attachments/8c67703a776d299ce96caa7852275e11/87048b70/MAGNESIUMB6_30G_V3_02082021_vect.pdf),etui MAGNESIUM B6_30G_V3_02082021 (1).ai (https://dl.airtable.com/.attachments/27ec263f4c82a1de04b6e6c2e2aa9ab0/16914dda/etuiMAGNESIUMB6_30G_V3_020820211.ai)", 1 GÉLULE,,"- Contribuent au maintien d'un bon métabolisme énergétique et à réduire la fatigue

","'- Magnésium d’origine marine (Carbonate, chlorure, hydroxyde, oxyde, sulfate) : 300 mg 80%
- Vitamine B6 : 2 mg 140%","Magnésium d’origine marine (oxyde de magnésium, carbonate de magnésium, hydroxyde de magnésium, sulfate de magnésium, chlorure de magnésium) ; Gélule d’origine végétale : Hydroxypropylméthylcellulose ; Humectant : Glycérol ; Chlorhydrate de pyridoxine (Vitamine B6).
",1 gélule par jour. ,"Ce produit est un complément alimentaire à base de magnésium et de vitamine B6. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","22,32g",,,complement-alimentaire_magnesium-vitamin-B6_0.jpg (https://dl.airtable.com/.attachments/3b6e9a3261d0ef6a059b70a0701b9c2d/9a827004/complement-alimentaire_magnesium-vitamin-B6_0.jpg),,,Fait,
ANTI STRESS,,RNPC,rnpc-blanc (1).png (https://dl.airtable.com/.attachments/6b6b6f96a2f247592995c84f6005db17/ac4c62e5/rnpc-blanc1.png),Sommeil et sérénité ,,60 gélules,mockup-anti-stress-60g (1)(1).png (https://dl.airtable.com/.attachments/d07eb27c3ebabe464adb7500cd951fc6/347a315f/mockup-anti-stress-60g11.png),,etui anti stress.pdf (https://dl.airtable.com/.attachments/f3ac07da549706554431c395a4eac4a1/a0c24f4d/etuiantistress.pdf),2 gélules,,"'- fatigue (1)
- nervosité (1) 
- concentration (1)

(1) Le magnésium et la vitamine B6 contribuent à réduire la fatigue et au fonctionnement normal du système nerveux et psychique.","- Oxyde de magnésium marin : 300 mg
dont magnésium élément 180 mg 48%
- Hydrolysat de protéines de lait : 75 mg
- Extrait de racines de Rhodiole titrée à 3% de rosavines et 1% de salidrosides : 100 mg
- Extrait de baies d’aubépine titré à 2% de vitexine : 50 mg
- Extrait de racines de valériane titré à 0,8% d’acides valériniques : 50 mg
- Extrait de fleurs de passiflore titré à 4% de flavonoïdes : 50 mg
- Extrait de feuilles de mélisse titré à 5% d’acide rosmarinique : 50 mg
- Vitamine B6 : 1,4 mg 100%","Oxyde de magnésium marin ; Agent de charge : gomme d’acacia BIO ; Gélule végétale : pullulan ; Extrait de racines de rhodiole (Rhodiola rosea); Hydrolysat de protéines de lait ; Extrait de baies d’aubépine (Crataegus laevigata) ; Extrait de racines de valériane (Valeriana officinalis) ; Extrait de fleurs de passiflore (Passiflora incarnata) ; Extrait de feuilles de mélisse (Melissa officinalis) ; Anti-agglomérant : extrait de riz BIO ; Pyridoxine HCL (Vitamine B6).
",Prendre 2 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes, de vitamines, de minéraux et d’hydrolysat de protéines de lait. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la lumière, de la chaleur et de l’humidité.","31,44 G",,,mockup-anti-stress-60g (1).png (https://dl.airtable.com/.attachments/46923c8d2a2d43838871015fc6ec8463/4b30c323/mockup-anti-stress-60g1.png),,,Fait,
ARTICULAIRE,,RNPC,rnpc-blanc (1).png (https://dl.airtable.com/.attachments/6b6b6f96a2f247592995c84f6005db17/ac4c62e5/rnpc-blanc1.png),Douleur et inflammation,,60 gélules,mockup-anti-articulaire-60g (1).png (https://dl.airtable.com/.attachments/3460f647232051203b1f2d74c5b76342/cea75908/mockup-anti-articulaire-60g1.png),,etui articulaire.pdf (https://dl.airtable.com/.attachments/56a6adb62d5d9d2c4e89b36afa324479/8596ec40/etuiarticulaire.pdf),2 gélules,"
","'- articulation (1)
- souplesse (1)
- mobilité (1)

(1) La gomme de boswellie aide à garder des articulation saines et souples
","- Glucosamine vegetale : 500 mg
- Chondroïtine : 250 mg
- Extrait de gomme de boswellie titrée à 70% d’acides boswelliques : 100 mg
- Extrait de racines d’harpagophytum titré à 10% d’harpagosides : 100 mg",Glucosamine sulfate végétale ; Chondroïtine ; Gélule végétale : pullulan ; Extrait de gomme de boswellie (Boswellia serrata) ; Extrait de racines d’harpagophytum (Harpagophytum procumbens) ; Agent de charge : fibre d’acacia BIO ; Anti-agglomérant : extrait de riz BIO.,Prendre 2 gélules par jour,"Ce produit est un complément alimentaire à base d’extraits de plantes, de glucosamine, et de chondroïtine. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes souffrant d’un ulcère gastro-duodénal ou de calculs biliaires. À conserver à l’abri de la lumière, de la chaleur et de l’humidité.","37,26 G",,,mockup-anti-articulaire-60g (1).png (https://dl.airtable.com/.attachments/87361d8d1bc1d861d2e3c4ffa8a4b77a/ab940a73/mockup-anti-articulaire-60g1.png),,,Fait,
CIRCULATOIRE,,RNPC,rnpc-blanc (1).png (https://dl.airtable.com/.attachments/6b6b6f96a2f247592995c84f6005db17/ac4c62e5/rnpc-blanc1.png),Circulation,,60 gélules,Mockup-confort-circulatoire (1).png (https://dl.airtable.com/.attachments/6d8f8f1e953b53da712e6ac2b308e391/2376df5e/Mockup-confort-circulatoire1.png),,etui circulatoire.pdf (https://dl.airtable.com/.attachments/bd97303a77e6d8834080aa78886f3010/3b29cd80/etuicirculatoire.pdf),2 gélules,,"'- veinotonique (1)
- jambes lourdes (1)

(1) : Le petit houx est veinotonique et supporte les jambes lourdes et fatiguées.","'- Bromélaïne titrée à 2500 GDU/g : 50 mg
- Extrait de graines de raisins titré à 95% d’OPC (Oligo - Proanthocyanidine) : 100 mg
- Extrait de feuilles de Ginkgo biloba titré à 24% de flavones glycosides et 6% de terpènes lactone : 50 mg
- Oxyde de Magnésium marin : 100 mg
dont Magnésium élément : 60 mg
- Gluconate de zinc : 40 mg
dont zinc élément : 10 mg 100 %
- Ascorbate de calcium : 95 mg 
dont vitamine C élément : 80 mg 100 %
- Levure de bière inerte (S. cerevisiae) : 100 mg
- Extrait de graines de marron d’Inde titré à 20% d’aescine : 80 mg
- Extrait de racines de petit houx titré à 20% de ruscogénine : 80 mg
- Extrait de feuilles de centella titré à 10% d’asiaticoside : 80 mg
- Extrait de feuilles de vigne rouge titré à 30% de polyphénols : 80 mg
- Extrait de feuilles d’hamamelis : 80 mg",Gélule végétale : pullulan ; Ascorbate de calcium ; Extrait de graines raisin (Vitis vinifera) ; Levure de bière inerte (Saccharomyces cerevisiae) ; Oxyde de magnésium marin ; Extrait de graines de marron d’Inde Aesculus hippocastanum) ; Extrait de racines de petit houx (Ruscus aculeatus) ; Extrait de feuilles de centella (Centella asiatica) ; Extrait de feuilles de vigne rouge (Vitis vinifiera) ; Extrait de feuilles d’hamamélis (Hamamelis virginiana) ; Bromelaïne ; Extrait de feuilles de ginkgo biloba (Ginkgo biloba) ; Gluconate de zinc ; Anti-agglomérant : extrait de riz. ,Prendre 2 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes, de vitamines, de minéraux, de bromélaine et de levure de bière. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans. Demandez conseil à un professionnel de santé en cas de traitement anticoagulant ou antidépresseur. À conserver à l’abri de la lumière, de la chaleur et de l’humidité.","34,44 G",,,Mockup-confort-circulatoire (1).png (https://dl.airtable.com/.attachments/d8bbde0ff1f14b71e4d5ee91d6986f33/1169d45c/Mockup-confort-circulatoire1.png),,,Fait,
MGF,,RNPC,rnpc-blanc (1).png (https://dl.airtable.com/.attachments/6b6b6f96a2f247592995c84f6005db17/ac4c62e5/rnpc-blanc1.png),Probiotiques,,30 gélules,Mockup-Mgf (1).png (https://dl.airtable.com/.attachments/8988f67392bdc97b560076495262fcb4/455ae402/Mockup-Mgf1.png),,etui MGF.pdf (https://dl.airtable.com/.attachments/ae2c60e3668a0d4e424565b1b9f21643/4be7b6fa/etuiMGF.pdf),1 gélule,,"'- 9 milliards d’UFC | DR Caps
- Souches microencapsulées (1)
(1) L. rhamnosus, L. reuteri, L. gasseri.","- Megaflora 9 : 5 x 10^8 UFC*
dont Bifidobacterium lactis W51 et W52 : 1 x 10^8 UFC*
dont Enterococcus faecium W54 : 0,5 x 10^8 UFC*
dont Lactobacillus acidophilus W22 : 0,7 x 10^8 UFC*
dont Lactobacillus paracasei W20 : 0,5 x 10^8 UFC*
dont Lactobacillus plantarum W1 et W21 : 1,3 x 10^8 UFC*
dont Lactobacillus salivarius W24 : 0,5 x 10^8 UFC*
dont Lactobacillus lactis W19 : 0,5 x 10^8 UFC*
Lactobacillus rhamnosus GG : 5 x 10^9 Cellules**
Lactobacillus reuteri LRE02 : 1,25 x 10^9 Cellules**
Levure de bière : S. boulardii CNCM I-3799 : 1 x 10^9 UFC*
Lactobacillus gasseri LGS06 : 6 x 10^8 Cellules**","Mégaflora 9 evo : association de souches microbiotiques ; Lactobacillus rhamnosus GG ; Gélule d’origine - végétale : hydroxypropylméthylcellulose (DR Caps) ; Levure de bière : S.
boulardii CNCM I-3799 ; Lactobacillus reuteri LRE02 ; Lactobacillus - gasseri LGS06 ; Fructo-Oligo-Saccharides (FOS) ; Inuline ; Anti-agglomérant : extrait de riz.",Prendre 1 gélule par jour,"Ce produit est un complément alimentaire à base de souches microbiotiques. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme
substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la lumière, de la chaleur et de l’humidité.","16,98 G",,,Mockup-Mgf (1).png (https://dl.airtable.com/.attachments/3813bc073b4feab7fa5b2ac2e175e3e6/2c4df042/Mockup-Mgf1.png),,,Fait,
MULTIVITAMINES,,RNPC,rnpc-blanc (1).png (https://dl.airtable.com/.attachments/6b6b6f96a2f247592995c84f6005db17/ac4c62e5/rnpc-blanc1.png),Toniques et Multivitamines Vitalité,,60 gélules,Mockup-multivitamines-et-mineraux (1).png (https://dl.airtable.com/.attachments/a339bb30ce161af981b18198a4e9d165/853ed827/Mockup-multivitamines-et-mineraux1.png),,etui multivitamines 2.pdf (https://dl.airtable.com/.attachments/a86066a5c403bea9db7805640efaa0f4/184a0b27/etuimultivitamines2.pdf),2 gélules,,"'- tonus (1)
- immunité (2)
- métabolisme (3)

(1) La vitamine C contribue à réduire la fatigue.
(2) La vitamine D contribue au fonctionnement normal du système immunitaire. 
(3) La vitamine B6 contribue à un métabolisme énergétique normal.
","- Levure de bière enrichie en vitamine B - 250 mg
dont vitamine B1 ............................................0,32 mg 30%
dont vitamine B2 ............................................0,63 mg 45%
dont vitamine B3 ............................................6,4 mg 40%
dont vitamine B5 ............................................2,4 mg 40%
dont vitamine B6 ............................................0,64 mg 45%
dont vitamine B8 ............................................12,1 µg 25%
dont vitamine B9 ............................................83 µg 41%
Extrait de fruits d’acérola titré à 32% de vitamine C - 250 mg
dont vitamine C................................................80 mg 100 %
Vitamine D3 végétale ...................................5 µg 100 %
Vitamine E naturelle ......................................12 mg 100 %
Oxyde de magnésium marin .......................320 mg
dont magnésium élément ............................192 mg 51 %
Levure de bière enrichie en sélénium .....27,5 mg 
dont sélénium élément .................................55 µg 100 %
Picolinate de zinc ............................................50 mg
dont zinc élément ...........................................10 mg 100 %
Picolinate de chrome ....................................320 µg
dont chrome élément ...................................40 µg 100 %
",Oxyde de magnésium marin ; Levure de bière enrichie en vitamine B ; Extrait de fruits d’acérola (Malpighia glabra) ; Gélule végétale : pullulan ; Agent de charge : gomme d’acacia BIO ; Picolinate de zinc ; Vitamine E naturelle ; Levure de bière enrichie en selenium ; Anti-agglomérant : extrait de riz BIO ; Vitamine D3 végétale ; Picolinate de chrome.,2 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes, de levures, de vitamines et de minéraux. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé
aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la lumière, de la chaleur et de l’humidité.","37,79 G",,,Mockup-multivitamines-et-mineraux (1).png (https://dl.airtable.com/.attachments/ad6ecfe613a58319fe27caf9ad6df831/e21f4949/Mockup-multivitamines-et-mineraux1.png),,,Fait,
